username, created_at, lng, lat, text
crawfordsjonah, Sat Apr 18 05:52:57 +0000 2020, -86.145320, 39.583039, @HessasAngels i accepted it 
2nuff4u, Sat Apr 18 05:52:57 +0000 2020, -82.368322, 27.998056, So some of the babies probably died on the way back home or right after birth?! This man was PSYCHOTIC 🤢… https://t.co/LR5o9brDZD 
JaniceW59620507, Sat Apr 18 05:52:58 +0000 2020, -83.173867, 32.678207, Any woman in this woeld e got them with her.Who to trust at a time like this he got themw.oth Middlebrroks eachlast… https://t.co/E1eQa7VQOP 
SuperJusticeGuy, Sat Apr 18 05:52:58 +0000 2020, -76.797222, 39.421988, Scrap. https://t.co/dfU3nxE5Yr 
swberk, Sat Apr 18 05:52:58 +0000 2020, -93.202438, 44.746673, @Chris_Hawkey Chris Hawkey I love you buy once the economy is destroyed our lifestyle that we enjoy will be gone. I… https://t.co/cPMwJh4YDH 
laura8am, Sat Apr 18 05:52:58 +0000 2020, -111.498181, 28.969863, Pero que acabo de ver 
rat___fink, Sat Apr 18 05:52:58 +0000 2020, -96.696562, 40.803235, “You’re not even an actor, you’re a haircut” is perhaps the most underrated line from television. I want to be a cr… https://t.co/sLDsoJbRqF 
anacristinahm, Sat Apr 18 05:52:58 +0000 2020, -111.498181, 28.969863, @mr_brightsidee0 @mazap4n Ni pestañas amiga 🥺 
jakelly64, Sat Apr 18 05:52:58 +0000 2020, -111.712862, 40.339376, @camden52801 Bitch can’t even spell 
linnxvo, Sat Apr 18 05:52:58 +0000 2020, -116.941950, 33.729481, @gemvls @__donovan23 https://t.co/CuWUJ24ChY 
pietrozna, Sat Apr 18 05:52:58 +0000 2020, -118.411907, 34.020789, jogar ludo tb serve 
mella_cej, Sat Apr 18 05:52:59 +0000 2020, -75.226986, 43.119680, @itslivtino OH, i aint see the not 
ElyssaBenavides, Sat Apr 18 05:52:59 +0000 2020, -100.076888, 31.168893, Introduced my mom to @Spotify and now all I hear is all sorts of music full blast from her room 😂 
officially_nika, Sat Apr 18 05:52:59 +0000 2020, -89.876449, 32.571032, Wtf🤣 
KingJay601, Sat Apr 18 05:52:59 +0000 2020, -91.090800, 30.459100, https://t.co/C80Vi75VmS 
railroadlady1, Sat Apr 18 05:52:59 +0000 2020, -97.114771, 33.202495, https://t.co/Z0Fv4wbgJJ 
caribouuuuuuu, Sat Apr 18 05:53:00 +0000 2020, -75.117998, 40.004866, @IlhanMN on it sir! 
vivalakakes, Sat Apr 18 05:53:00 +0000 2020, -112.124676, 33.552863, I have a serious crush on a woman and she scares me so think that it makes it more interesting lmao 
googuns_lulz, Sat Apr 18 05:53:00 +0000 2020, -110.779356, 28.349410, bf4b0eb393e94446208aa07f9870c16a73cb272efd59d751c5f2383914d6f26a9de369a0810b18a553c36ce5d6386f3af3433c2535941dfbc98… https://t.co/B2bzoqr4qm 
WEEKNDSFTMCCANN, Sat Apr 18 05:53:00 +0000 2020, -91.401008, 30.937336, 🤣🤣🤣🤣 
ss_santillan, Sat Apr 18 05:53:00 +0000 2020, -97.935192, 29.895606, Oh shit it’s Friday. 
MRrichey_Rich, Sat Apr 18 05:53:00 +0000 2020, -111.928142, 33.392884, @ForeignKittyXXX 🤣🤣 i could be wrong tho 😅 
EdBateyJr, Sat Apr 18 05:53:00 +0000 2020, -81.109617, 32.017285, @GregProops @dumptrump33Bravo @billmaher!https://t.co/PVJ9ECmlU1 
AYCIncomparable, Sat Apr 18 05:53:00 +0000 2020, -80.233328, 25.782353, Y’all is not iCarly y’all ass don’t gotta go LIVE everyday we don’t care that you bored 🙄 
Sporty_Cordy, Sat Apr 18 05:53:01 +0000 2020, -78.853563, 42.896230, 😱 
_laNino_, Sat Apr 18 05:53:01 +0000 2020, -90.011008, 29.982601, Wonder if it’s raining 
Maverick1914, Sat Apr 18 05:53:01 +0000 2020, -96.982788, 32.958255, Watching folks play Warzone...team of 3 rolled up on dude  for a contract and he team wipes them 
kenjilopezalt, Sat Apr 18 05:53:01 +0000 2020, -122.315421, 37.552481, @sjhenle @OoniHQ @gozneygroup Bith are great. Depends whether you want fuel options (roccbox) or want more space (Ooni) 
jsalsa19, Sat Apr 18 05:53:01 +0000 2020, -109.841790, 27.713653, Las quesadillas llevan queso, pero los hermanos de la Diócesis de Toluca, no están preparados para esta conversación 😅 
justicenbd, Sat Apr 18 05:53:01 +0000 2020, -96.761753, 32.819858, @nothisisjackiee right there with you 😍 
YeaaImTaylor_, Sat Apr 18 05:53:01 +0000 2020, -95.192680, 29.972668, I’m still not understanding why Texas doesn’t have a Disneyland. All this land in Texas is not occupied. 
MoryJoe, Sat Apr 18 05:53:01 +0000 2020, -96.053431, 41.275721, @EliPerezayala4 😍 Te Amo 💕 
ausduc, Sat Apr 18 05:53:01 +0000 2020, -117.782360, 33.689732, Taco Bell on my mind 
wvmore, Sat Apr 18 05:53:02 +0000 2020, -117.104989, 32.810012, Why am I not a mermaid 
DiJohnson15, Sat Apr 18 05:53:02 +0000 2020, -120.846825, 44.307668, @manneb2015 If he chooses Liz... 
BalloutJ_, Sat Apr 18 05:53:02 +0000 2020, -84.433106, 33.767195, on me 
retrospective_b, Sat Apr 18 05:53:02 +0000 2020, -98.319925, 38.498196, @majorgauravarya Sir, don’t you think it is too late in the day ! ? 
barbarafulcher, Sat Apr 18 05:52:57 +0000 2020, -83.173867, 32.678207, @CNNPolitics Why? 
Rico_Hoop, Sat Apr 18 05:53:02 +0000 2020, -85.491540, 32.597245, Hell yuh I been bs’n 
emo_mama_, Sat Apr 18 05:53:02 +0000 2020, -98.540651, 29.417501, Def Theo 
ConyPenaa, Sat Apr 18 05:53:02 +0000 2020, -118.411907, 34.020789, i already miss my sister 😩 
Kiddbillinger, Sat Apr 18 05:53:02 +0000 2020, -84.644926, 33.779824, @_MOST__HATED_ I said all that to say I LOVE boobs and I appreciate you for going thru that for me to love em! 
jacobyarbrough2, Sat Apr 18 05:53:02 +0000 2020, -117.104989, 32.810012, If the Saturn Barz video doesn’t make you a Gorrliaz fan than I have no hope. 
gvijin, Sat Apr 18 05:53:02 +0000 2020, -73.948775, 40.655138, “Why this nigga feel like he so important, I GOTTA find out” gyal wanna know everything smh. 
sunfIowerliz, Sat Apr 18 05:53:02 +0000 2020, -95.446486, 29.838495, i’m literally so in love w this man and i feel like we’d actually be good friends but he’s never gonna know who i a… https://t.co/9h3Ap9St6k 
bmiller808, Sat Apr 18 05:53:02 +0000 2020, -121.983282, 36.991172, I fought a haunted house in FFVII. I feel like anything else I do in the game will pale in comparison 
florenciobanda, Sat Apr 18 05:53:02 +0000 2020, -110.854585, 24.107997, #SomosUnMundo 
RASHAUNALRAFI, Sat Apr 18 05:53:03 +0000 2020, -84.475291, 33.657586, https://t.co/g3wSDy4gzN 
PrettibluBao, Sat Apr 18 05:53:03 +0000 2020, -112.124676, 33.552863, #BTSARMY https://t.co/ENeXSTgAxZ 
adriaaan_campos, Sat Apr 18 05:53:03 +0000 2020, -115.038337, 36.006256, Ight don’t judge me but I just took half of ecstasy cause why the fuck not so boutta go live and wild out 
dellronn, Sat Apr 18 05:53:03 +0000 2020, -90.055971, 29.912164, 😭😭😭😭💀 
CheaGangx, Sat Apr 18 05:53:03 +0000 2020, -76.880139, 38.967244, Brazy 
LASTDONRON, Sat Apr 18 05:53:03 +0000 2020, -90.247824, 38.653771, Twist up a wood my nigga, get even higher lol. 
edmthotiana, Sat Apr 18 05:53:03 +0000 2020, -122.347285, 47.465059, my mom is so cute she ate the ice cream i bought so she walked to the stor and got me ice cram to replace it 😭😭😭🥺🥺🥺💕💕 
jeancarlopg, Sat Apr 18 05:53:03 +0000 2020, -111.498181, 28.969863, @01wili Haaaaaayyy tiro lamitaaaa!!! 
ValcourtKevin, Sat Apr 18 05:53:03 +0000 2020, -80.201535, 26.168382, Agreeee 
xomadftp, Sat Apr 18 05:53:03 +0000 2020, -119.306608, 37.269176, @needycoco say less babey 🥰 
TrlrTrshhh, Sat Apr 18 05:53:03 +0000 2020, -119.306608, 37.269176, My feelings are hurt, steadily 
Darnell__16, Sat Apr 18 05:53:04 +0000 2020, -83.173867, 32.678207, KKKKKK AI MEI DEUS SOCORRO GENTE 
ninoalibegic, Sat Apr 18 05:53:04 +0000 2020, -111.992317, 40.603071, I’m not criticizing him anymore. I’m fine with him making the same song now after that last tape. He’s good in that… https://t.co/XhN4ZZ2tOI 
KissMyParis, Sat Apr 18 05:53:04 +0000 2020, -83.804475, 27.698682, More stamina Then AnimalsGucci is no amateur😝💪🏾 
HypeRican, Sat Apr 18 05:53:04 +0000 2020, -88.161555, 30.683649, I’ll politely hang up and wish you a goodnight. 😘 
SkinWalkersTV, Sat Apr 18 05:53:04 +0000 2020, -76.481195, 42.508720, Making video soon out side with my 4K iPhone 
BeeSting14618, Sat Apr 18 05:53:04 +0000 2020, -77.605207, 43.127268, @abandonedameric I think you misspelled “The rules of being owned by a cat” 🤣🤣🤣🤣🤣 
jstnaomi, Sat Apr 18 05:53:04 +0000 2020, -97.169156, 31.547449, bruh my tolerance for alcohol is getting real high because i’m 7 shots deep into 1800 and i’m still good 
MaxPower13124, Sat Apr 18 05:53:04 +0000 2020, -117.206835, 47.635531, My Pet Monster 
mmgregory53008, Sat Apr 18 05:53:04 +0000 2020, -81.511516, 41.165246, @bferrigno @michellebhasin No way they can keep water fountains sanitized. And keep social distancing in an element… https://t.co/UuuW3ankTU 
mylove4mu5ic, Sat Apr 18 05:53:04 +0000 2020, -79.420865, 38.003376, Never again am I ever using PayPal again and the mf that created that bs can choke on a clit. I’m over it. 
kalidou07147864, Sat Apr 18 05:53:04 +0000 2020, -84.550064, 39.346932, I wouldn’t cuff her so I wife her 🤟🏾 
_miacaroline, Sat Apr 18 05:53:05 +0000 2020, -118.325145, 34.182160, @savannnahcastro Omg 
benitezjas7, Sat Apr 18 05:53:05 +0000 2020, -118.411907, 34.020789, @ehh_melissa_ HUH? 
canakikass, Sat Apr 18 05:53:05 +0000 2020, -118.411907, 34.020789, @stonecold2050 No way!!!! I can’t even. 
Well_Versed_, Sat Apr 18 05:53:05 +0000 2020, -115.133373, 36.249124, @ShakeShaman 😧 sir I highly discourage this lol. You will probably feel nauseous and or itchy like a mf lol. If you… https://t.co/vxpd8tbURU 
Jay4Three, Sat Apr 18 05:53:05 +0000 2020, -111.737566, 33.405755, This jokes lol 
MarkCavanaugh3, Sat Apr 18 05:53:05 +0000 2020, -104.922093, 39.713563, @anniekatherine My hair is going seriously 1970s. I never dreamed I’d wear my hair like this at this age. Yet it’s… https://t.co/5gVUch7ptb 
d_sweatshirt24, Sat Apr 18 05:53:05 +0000 2020, -117.320879, 33.226316, Aye so should I keep it or nah? 
reynaxflores, Sat Apr 18 05:53:05 +0000 2020, -120.419584, 34.932367, @EspinozaTerron right not tryna commit fraud 🥴 
kaylan_alexus, Sat Apr 18 05:53:05 +0000 2020, -92.061177, 30.206079, Aww no way 😭 RIP Steph 
Seb_Vald, Sat Apr 18 05:53:05 +0000 2020, -80.401725, 26.103362, running a giveaway contest to smack the fuck out of me, you just need to rt this and follow me 
creolepeachess, Sat Apr 18 05:53:05 +0000 2020, -82.160865, 29.120223, At every function and event y’all see me, 9/10 I’m high or tipsy asf. 
raenice_, Sat Apr 18 05:53:06 +0000 2020, -91.682855, 41.976528, This the fucking tweet 
VIPTICKETS, Sat Apr 18 05:53:06 +0000 2020, -118.411907, 34.020789, 💙 ⚾️ 
AlalanGuSal, Sat Apr 18 05:53:06 +0000 2020, -115.579879, 30.156488, Pero tengo bonitos sentimientos y un humor un tanto ácido. https://t.co/eJwApxwoaK 
ssecijak, Sat Apr 18 05:53:06 +0000 2020, -98.716992, 35.309047, Setlist! 
Nate_Is_DatDude, Sat Apr 18 05:53:07 +0000 2020, -76.884934, 38.926235, @MsAnaisAnais Lol 😂 
xoxo_lalaa_, Sat Apr 18 05:53:07 +0000 2020, -117.397616, 33.935822, Day 1025 of Quarantine: I discovered that I actually DO know how to do hair lmaooo I braided my sister hair, twis… https://t.co/AESFuvW6t3 
AlblaccfromdaA, Sat Apr 18 05:53:07 +0000 2020, -84.388900, 33.756600, 🤔🖤 @ Atlanta, Georgia https://t.co/l86PdotGoT 
phgouveia2001, Sat Apr 18 05:53:07 +0000 2020, -77.163103, 39.087055, @jlm_mendes , já vem a músiquinha na hora kkkkkkkk 
ThomasDeMatteo7, Sat Apr 18 05:53:07 +0000 2020, -88.264303, 40.054025, @politico Is he trying to incite a civil war 
Cassperloc, Sat Apr 18 05:53:07 +0000 2020, -115.135165, 36.060964, @melanatedmomma Cuzz We Some Gangstaz 😎 😎#NewMusic #NewMusicAlert #newmusic2020 #blessUPhttps://t.co/aQQvaX8phh 
TacosandTeslas, Sat Apr 18 05:53:07 +0000 2020, -122.179327, 37.879414, @elonmusk @biogirl09 @bluemoondance74 @MichaelCanary02 @Erdayastronaut @dwesterster If you had to choose. What’s yo… https://t.co/yCh3h2dyzu 
carolynnnn____, Sat Apr 18 05:53:07 +0000 2020, -75.483936, 40.591825, Lmfaoooo 
reva_justeen, Sat Apr 18 05:53:07 +0000 2020, -97.432425, 27.737151, need my back popped like a glow stick again, it’s been a few days...😔 
auggie_cook, Sat Apr 18 05:53:07 +0000 2020, -80.137732, 40.457401, @Pirates Go Bucs 
Suuggaa, Sat Apr 18 05:53:08 +0000 2020, -85.722346, 38.195555, Mane I’m riding dick like Megan I’m drunk 
axle_b97, Sat Apr 18 05:53:08 +0000 2020, -122.201098, 39.524221, You good chief? 
ISOJAYYY, Sat Apr 18 05:53:08 +0000 2020, -73.948775, 40.655138, @CoachDuke_ Me 
a_landeros1, Sat Apr 18 05:53:08 +0000 2020, -121.322615, 36.428055, You fucked me over both mentally and physically and I’ll always hate you for that! 
velasquezkarina, Sat Apr 18 05:53:08 +0000 2020, -97.753840, 31.079307, Si fallaste ayer, no importa... hoy tienes la oportunidad de comenzar de nuevo. 🦋🖖🏻 #StayHome #COVID19 https://t.co/NdhrTs7Eve 
askhalid, Sat Apr 18 05:53:08 +0000 2020, -118.411907, 34.020789, Watching the BBC version of A Hitchhiker’s Guide to the Galaxy and it is a whole mood. https://t.co/YEMsGiIMf7 
rickystokesnews, Sat Apr 18 05:53:08 +0000 2020, -86.680738, 32.576227, HOUSTON CO:  Late Fri night a body found in a ditch on Coskrey Road. Sheriff investigating as a homicide.… https://t.co/4hj59tfZxp 
SeoltangSteph, Sat Apr 18 05:53:08 +0000 2020, -115.223125, 36.232915, Need food to stay awake 
allykat1006, Sat Apr 18 05:53:08 +0000 2020, -98.317683, 26.208802, i will stan dad bods till the day i DIE 
Mikahthegreat_, Sat Apr 18 05:53:08 +0000 2020, -90.178629, 30.001244, Yeah sure. 
Dannyjortega, Sat Apr 18 05:53:09 +0000 2020, -73.831187, 40.670879, Estimados amigos ahorita revisando el Twitter debía 9 fallow yo fallowing a todos.. también pueden avísame, no problema!! 
laddiecomehome1, Sat Apr 18 05:53:09 +0000 2020, -87.192951, 41.622433, @g_mom1411 @AEJ58 @SenDuckworth She is a shell - the Illinois Democratic Crime Ring tells her what to do - not a person anymore. 
digbigger, Sat Apr 18 05:53:09 +0000 2020, -85.231089, 43.096626, Rare kandy with my lil qt bb. https://t.co/IeOVcNAysO 
imtreon, Sat Apr 18 05:53:09 +0000 2020, -92.076701, 32.521243, @aneseyadunn I gotta get a cut 😔💀 
_BellaTu, Sat Apr 18 05:53:09 +0000 2020, -76.593943, 24.074967, Orphan black! 
gluuten69, Sat Apr 18 05:53:09 +0000 2020, -105.242687, 40.023982, So I was just told what she ERC is, and it turns out it means "Editing Recruitment Challenge". Oops. 
